Country,ISO3,Region,income category,HepBintroduced,HepBintroducedBirth,HepB3dose,HepBbirth,schedule,Type,PreU5EstPre,PreU5EstPreLowCI,PreU5EstPreHighCI,PreU5EstCar,PreU5EstCarLowCI,PreU5EstCarHighCI,PreGPEstPre,PreGPEstPreLowCI,PreGPEstPreHighCI,PreGPEstCar,PreGPEstCarLowCI,PreGPEstCarHighCI,PostU5EstPre,PostU5EstPreLowCI,PostU5EstPreHighCI,PostU5EstCar,PostU5EstCarLowCI,PostU5EstCarHighCI,PostGPEstPre,PostGPEstPreLowCI,PostGPEstPreHighCI,PostGPEstCar,PostGPEstCarLowCI,PostGPEstCarHighCI,NumCarPrevU5,NumCarPrevU5LowCI,NumCarPrevU5HighCI,NumCarPrevGP,NumCarPrevGPLowCI,NumCarPrevGPHighCI,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,U51990,U51995,U52000,U52005,U52010,U52015,births-1980-1985,births-1985-1990,births-1990-1995,births-1995-2000,births-2000-2005,births-2005-2010,births-2010-2015,InfMort1985-1990,InfMort1990-1995,InfMort1995-2000,InfMort2000-2005,InfMort2005-2010,InfMort2010-2015,UrbPop1990,UrbPop1995,UrbPop2000,UrbPop2005,UrbPop2010,UrbPop2015,Cov_HepB_BD_2015,Cov_HepB_BD_2014,Cov_HepB_BD_2013,Cov_HepB_BD_2012,Cov_HepB_BD_2011,Cov_HepB_BD_2010,Cov_HepB_BD_2009,Cov_HepB_BD_2008,Cov_HepB_BD_2007,Cov_HepB_BD_2006,Cov_HepB_BD_2005,Cov_HepB_BD_2004,Cov_HepB_BD_2003,Cov_HepB_BD_2002,Cov_HepB_BD_2001,Cov_HepB_BD_2000,Cov_HepB3_2015,Cov_HepB3_2014,Cov_HepB3_2013,Cov_HepB3_2012,Cov_HepB3_2011,Cov_HepB3_2010,Cov_HepB3_2009,Cov_HepB3_2008,Cov_HepB3_2007,Cov_HepB3_2006,Cov_HepB3_2005,Cov_HepB3_2004,Cov_HepB3_2003,Cov_HepB3_2002,Cov_HepB3_2001,Cov_HepB3_2000,Cov_HepB3_1999,Cov_HepB3_1998,Cov_HepB3_1997,Cov_HepB3_1996,Cov_HepB3_1995,Cov_HepB3_1994,Cov_HepB3_1993,Cov_HepB3_1992,Cov_HepB3_1991,Cov_HepB3_1990,PreU5EstPre-region,PreU5EstPreLowCI-region,PreU5EstPreHighCI-region,PreU5EstCar-region,PreU5EstCarLowCI-region,PreU5EstCarHighCI-region,PreGPEstPre-region,PreGPEstPreLowCI-region,PreGPEstPreHighCI-region,PreGPEstCar-region,PreGPEstCarLowCI-region,PreGPEstCarHighCI-region,PostU5EstPre-region,PostU5EstPreLowCI-region,PostU5EstPreHighCI-region,PostU5EstCar-region,PostU5EstCarLowCI-region,PostU5EstCarHighCI-region,PostGPEstPre-region,PostGPEstPreLowCI-region,PostGPEstPreHighCI-region,PostGPEstCar-region,PostGPEstCarLowCI-region,PostGPEstCarHighCI-region,NumCarPrevU5-region,NumCarPrevU5LowCI-region,NumCarPrevU5HighCI-region,NumCarPrevGP-region,NumCarPrevGPLowCI-region,NumCarPrevGPHighCI-region,PreU5EstPre-income,PreU5EstPreLowCI-income,PreU5EstPreHighCI-income,PreU5EstCar-income,PreU5EstCarLowCI-income,PreU5EstCarHighCI-income,PreGPEstPre-income,PreGPEstPreLowCI-income,PreGPEstPreHighCI-income,PreGPEstCar-income,PreGPEstCarLowCI-income,PreGPEstCarHighCI-income,PostU5EstPre-income,PostU5EstPreLowCI-income,PostU5EstPreHighCI-income,PostU5EstCar-income,PostU5EstCarLowCI-income,PostU5EstCarHighCI-income,PostGPEstPre-income,PostGPEstPreLowCI-income,PostGPEstPreHighCI-income,PostGPEstCar-income,PostGPEstCarLowCI-income,PostGPEstCarHighCI-income,NumCarPrevU5-income,NumCarPrevU5LowCI-income,NumCarPrevU5HighCI-income,NumCarPrevGP-income,NumCarPrevGPLowCI-income,NumCarPrevGPHighCI-income
Kiribati,KIR,WPRO,Lower middle income,1989,2000,87,96,"birth; 6, 10, 14 weeks;",HepB_Pediatric; DTwPHibHepB,23.3,18.4,28.6,3,3,4,23.2,18.8,28,26,21,31,3.7,2.5,5.2,1,0,1,15.2,12.3,18.4,18,14,21,3,2,4,10,8,13,72.412,73.7,74.769,75.719,76.671,77.73,78.907,80.184,81.55,82.966,84.406,85.858,87.343,88.895,90.542,92.325,94.26,96.311,98.44,100.568,102.652,104.656,106.613,108.535,110.458,112.407,11.596,11.803,11.971,10.813,13.951,14.751,11.357,12.709,13.336,12.901,13.188,14.403,15.697,75.252,64.215,56.77,51.566,49.307,46.892,34.987,36.409,42.958,43.551,43.773,44.304,96,66,84,82,66,63,52,59,58,68,70,72,74,76,78,80,87,75,95,94,95,91,86,83,96,88,50,67,73,79,85,90,82,89,97,66,36,36,8,6,7,73,7.3,5.7,9.2,8634,6791,10882,7.3,6,8.9,135566,109881,165204,0.9,0.6,1.3,1096,760,1525,6.2,5.1,7.6,114754,93088,139501,7547,5755,9539,23990,19015,29870,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Saint Kitts and Nevis,KNA,PAHO,High income,1997,2015,94,18,"birth; 2, 4, 6 months; 1st contact; +4 weeks; +6 months;",HepB_Pediatric; DTwPHibHepB; HepB_Adult (special groups),1.5,0.2,10.1,0,0,0,1.5,0.2,10.1,0,0,3,0.4,0,3.1,0,0,0,1.1,0.1,7.9,0,0,2,0,0,0,0,0,1,40.834,41.013,41.361,41.846,42.373,42.891,43.373,43.846,44.317,44.824,45.374,45.99,46.641,47.306,47.971,48.611,49.21,49.783,50.332,50.886,51.445,52.006,52.591,53.169,53.739,54.288,,,,,,,,,,,,,,,,,,,,34.609,33.715,32.778,32.048,31.806,32.047,18,,,,,,,,,,,,,,,,94,98,97,98,98,96,97,98,99,99,99,96,99,96,99,99,99,99,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Republic of Korea,KOR,WPRO,High income,1994,2014,98,93,"birth; 1, 6 months;",HepB_Pediatric,3.9,3.1,4.8,88,71,109,3.9,3.2,4.6,1940,1632,2304,0.7,0.5,0.9,16,11,22,3.2,2.7,3.8,1587,1343,1883,72,57,91,404,329,506,42923.131,43378.101,43853.448,44340.558,44825.885,45298.611,45757.361,46202.604,46627.442,47023.88,47386.312,47712.788,48004.786,48265.026,48498.083,48708.497,48895.845,49062.429,49218.985,49379.208,49552.855,49744.659,49952.244,50169.242,50385.56,50593.662,3118.863,3490.757,3172.701,2514.68,2288.773,2232.392,3961.423,3175.525,3530.116,3188.441,2519.662,2288.509,2239.804,15.665,10.278,6.896,5.014,3.507,2.978,73.844,78.239,79.621,81.345,81.936,82.474,93,92,,,,,,,,,,,,,,,98,99,99,99,99,94,94,94,91,99,99,92,91,92,89,93,88,82,88,93,99,,,,,,7.3,5.7,9.2,8634,6791,10882,7.3,6,8.9,135566,109881,165204,0.9,0.6,1.3,1096,760,1525,6.2,5.1,7.6,114754,93088,139501,7547,5755,9539,23990,19015,29870,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Kuwait,KWT,EMRO,High income,1991,2000,99,99,"birth; 2, 4, 6, 18 months;","HepB monovalent (and for citizens born after 1990 and health care personnel, contacts of discovered cases); DTwPHibHepB",1.3,0.1,16.7,4,0,58,1.2,0.1,17.1,48,2,664,0.1,0,2,0,0,7,0.9,0.1,12.3,33,2,479,4,0,53,16,1,202,2099.615,2035.661,1916.877,1777.137,1663.932,1610.651,1631.74,1715.314,1836.353,1957.066,2050.741,2109.355,2143.833,2169.118,2207.939,2276.623,2377.258,2503.41,2652.34,2818.939,2998.083,3191.051,3395.556,3598.385,3782.45,3935.794,249.78,174.642,226.903,213.652,273.838,310.784,279.194,267.641,188.847,221.141,226.776,275.584,312.459,16.271,12.686,10.881,10.226,9.65,8.352,97.974,98.043,98.113,98.187,98.263,98.342,99,96,98,97,98,99,99,99,99,99,99,99,98,96,95,94,99,96,99,98,99,99,99,99,99,99,99,94,99,99,99,95,95,99,98,99,99,93,91,38,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Lao People's Democratic Republic,LAO,WPRO,Lower middle income,2002,2016,89,,"birth; 6, 10, 14 weeks;",HepB_Pediatric; DTwPHibHepB,5.8,4.4,7.6,49,36,64,5.8,4.5,7.3,397,308,495,1.9,1.3,2.7,16,11,23,4.8,3.7,6,327,254,408,33,23,44,117,89,150,4258.472,4380.073,4502.363,4623.28,4740.38,4851.923,4957.18,5056.519,5150.763,5241.284,5329.304,5414.568,5497.273,5579.656,5664.605,5754.026,5849.356,5949.787,6052.19,6152.036,6246.274,6333.487,6415.169,6494.557,6576.397,6663.967,749.62,838.614,796.669,752.591,778.501,771.632,745.081,858.728,945.06,883.978,821.856,836.92,822.126,108.421,95.674,82.418,69.213,56.724,47.257,15.437,17.378,21.977,27.386,33.123,38.614,,,,,,,,,,,,,,,,,89,88,87,79,78,74,67,61,50,57,49,45,50,,,,,,,,,,,,,,7.3,5.7,9.2,8634,6791,10882,7.3,6,8.9,135566,109881,165204,0.9,0.6,1.3,1096,760,1525,6.2,5.1,7.6,114754,93088,139501,7547,5755,9539,23990,19015,29870,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Lebanon,LBN,EMRO,Upper middle income,1998,2000,81,94,"birth; 2, 4, 6, 18 months;",HepB monovalent; DTwPHibHepB,1.7,1.3,2.2,8,6,10,1.7,1.4,2.1,100,79,125,0.2,0.1,0.3,1,1,1,1.3,1,1.6,77,61,95,7,5,9,26,20,33,2703.016,2752.462,2821.862,2900.854,2974.64,3033.394,3070.96,3092.67,3113.951,3156.646,3235.366,3359.859,3522.837,3701.464,3863.267,3986.852,4057.35,4086.466,4111.047,4183.156,4337.141,4588.368,4916.404,5276.102,5603.279,5851.479,310.868,328.559,305.167,323.521,272.749,461.166,380.785,348.501,334.796,323.564,294.552,264.634,381.389,30.418,25.13,18.842,13.805,10.597,9.195,83.12,84.82,86,86.584,87.183,87.792,94,94,94,94,94,94,94,94,94,94,94,94,94,94,90,90,81,81,81,81,81,81,81,81,80,78,77,75,74,77,80,83,86,,,,,,,,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Liberia,LBR,AFRO,Low income,2007,2016,52,,"6, 10, 14 weeks;",DTwPHibHepB,17.3,13.4,21.9,121,94,154,17.2,14,21.2,773,629,957,7.8,5.6,10.4,54,39,73,14.9,11.9,18.4,671,538,828,66,49,88,261,205,331,2097.232,2060.267,2022.729,2000.248,2012.885,2073.482,2191.179,2358.469,2551.062,2734.518,2884.522,2991.132,3062.863,3116.233,3176.414,3261.23,3375.838,3512.932,3662.993,3811.528,3948.125,4070.167,4181.563,4286.291,4390.737,4499.621,370.301,348.807,495.149,563.035,653.631,704.628,494.353,500.816,460.103,539.635,639.734,696.316,756.895,157.586,154.429,128.705,96.858,71.786,59.004,55.422,45.96,44.331,46.051,47.801,49.701,,,,,,,,,,,,,,,,,52,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,8.3,6,12.6,8468,6106,12909,7.9,5.8,12.6,50684,37266,80493,3.4,2.29,5.55,3483,2341,5676,6.37,4.65,10.29,40633,29675,65676,4954,3369,7698,17920,12878,27487
Libya,LBY,EMRO,Upper middle income,1991,2001,94,99,"birth; 2, 4, 6 months;",HepB monovalent; DTaPHibHepIPV,2.9,2.3,3.7,19,15,24,2.9,2.4,3.6,182,150,224,0.3,0.2,0.4,2,1,3,1.8,1.5,2.3,116,96,141,17,13,22,69,55,89,4436.661,4544.293,4651.004,4755.289,4855.003,4948.798,5035.884,5117.269,5195.502,5274.163,5355.751,5440.566,5527.515,5615.952,5704.759,5792.688,5881.435,5970.362,6053.078,6121.053,6169.14,6193.501,6198.258,6195.97,6204.108,6234.955,644.143,601.728,569.291,574.274,617.336,629.902,656.351,672.889,622.569,586.697,590.266,634.902,659.182,41.198,32.927,29.616,27.216,24.274,24.281,75.723,75.994,76.346,76.9,77.642,78.554,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,94,94,96,98,98,98,98,98,98,98,97,99,96,91,93,92,92,92,91,93,92,92,91,88,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Saint Lucia,LCA,PAHO,Upper middle income,2002,2015,99,,"birth; 2, 4, 6 months; ",HepB_Pediatric; DTwPHibHepB; HepB_Adult (adolescents and adults),1.5,0.2,10.9,0,0,2,1.5,0.2,10.8,2,0,18,0.4,0.1,3.2,0,0,0,1.3,0.1,9.2,2,0,15,0,0,1,0,0,4,138.185,140.156,141.925,143.565,145.247,147.044,149.004,151.086,153.183,155.172,156.949,158.464,159.763,160.973,162.251,163.714,165.407,167.288,169.22,171.022,172.58,173.832,174.835,175.66,176.421,177.206,17.644,17.579,15.845,12.543,11.072,10.782,20.37,19.973,18.626,16.463,12.774,11.53,11.02,20.402,17.311,15.3,14.229,11.849,10.899,29.349,28.765,27.774,23.085,18.45,18.504,,,,,,,,,,,,,,,,,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Sri Lanka,LKA,SEARO,Lower middle income,2002,2016,99,,"2, 4, 6 months;",DTwPHibHepB,2.4,1.7,3.4,39,28,55,2.4,1.7,3.3,498,361,678,0.6,0.4,1,10,7,16,2,1.5,2.8,423,305,578,29,20,42,106,75,149,17329.713,17539.633,17740.637,17928.576,18098.348,18247.121,18372.12,18476.505,18570.701,18669.103,18781.938,18913.054,19059.3,19215.307,19372.538,19524.558,19670.151,19810.789,19945.832,20075.086,20198.353,20315.017,20424.555,20527.233,20623.564,20714.04,1779.977,1716.653,1641.607,1743.175,1787.443,1643.016,2015.091,1832.329,1759.548,1712.689,1780.793,1828.038,1678.755,24.241,19.985,16.205,13.072,10.055,8.23,18.566,18.504,18.443,18.382,18.321,18.356,,,,,,,,,,,,,,,,,99,99,99,99,99,99,97,98,98,98,99,62,32,,,,,,,,,,,,,,2.4,1.7,4.5,4267,3010,8040,2.4,1.7,4.6,46011,33522,88736,0.7,0.5,1.6,1238,818,2830,2,1.5,4,39359,28800,76506,3012,2049,5336,11800,8445,21700,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Lesotho,LSO,AFRO,Lower middle income,2002,2016,93,,"6, 10, 14 weeks;",DTwPHibHepB,5.6,0.6,42.2,16,2,117,5.7,0.6,41.9,122,13,893,1.6,0.2,17.3,5,0,48,4.5,0.5,35.3,96,9,753,11,1,65,37,4,264,1603.938,1634.517,1667.121,1700.362,1732.257,1761.359,1787.273,1810.453,1831.298,1850.527,1868.699,1885.955,1902.312,1918.097,1933.728,1949.543,1965.662,1982.287,1999.93,2019.209,2040.551,2064.166,2089.928,2117.361,2145.785,2174.645,255.091,264.055,272.429,257.043,258.03,280.082,278.003,283.403,288.48,301.968,287.23,283.726,302.071,83.827,70.646,81.199,86.826,74.069,59.825,13.967,16.955,19.548,22.249,24.753,27.312,,,,,,,,,,,,,,,,,93,93,93,95,96,93,91,88,90,91,87,60,17,,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Lithuania,LTU,EURO,High income,1997,2000,94,97,"birth; 1, 6 months;",HepB_Pediatric,2,1.3,2.8,3,2,4,2,1.4,2.8,57,39,79,0.2,0.1,0.3,0,0,0,1.6,1.1,2.3,46,32,64,3,2,4,11,8,15,3696.034,3697.453,3688.1,3670.647,3649.134,3626.602,3603.745,3579.904,3555.133,3529.178,3501.835,3473.617,3444.754,3414.352,3381.118,3344.252,3303.671,3260.091,3214.627,3168.772,3123.803,3079.881,3037.246,2997.334,2961.846,2931.926,289.191,241.354,182.629,147.439,147.539,151.447,272.269,286.943,247.542,188.658,153.161,156.606,158.055,14.909,16.481,11.018,7.66,5.966,4.366,67.583,67.285,66.986,66.635,66.757,66.508,97,97,98,96,96,98,98,92,99,99,99,99,99,99,99,99,94,94,93,93,95,94,95,96,96,95,95,94,95,94,95,98,96,73,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Luxembourg,LUX,EURO,High income,1996,2016,99,,"2, 3, 13 months;",DTaPHibHepIPV,0.9,0.1,13.2,0,0,4,0.8,0.1,13.5,4,0,76,0.2,0,4.1,0,0,1,0.7,0.1,11.7,4,0,66,0,0,3,1,0,13,381.791,386.352,391.394,396.81,402.433,408.149,413.999,419.974,425.833,431.262,436.103,440.198,443.726,447.322,451.819,457.842,465.554,474.722,485.105,496.279,507.889,519.941,532.387,544.721,556.316,566.741,23.314,27.327,28.413,27.527,28.853,31.412,21.049,22.044,25.816,27.545,26.405,27.527,29.978,8.988,7.25,4.863,4.951,2.323,3.42,80.947,82.893,84.216,86.598,88.547,90.16,,,,,,,,,,,,,,,,,99,94,94,94,95,94,95,94,87,95,95,94,95,95,86,77,67,58,49,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Latvia,LVA,EURO,High income,1997,2006,94,,"birth; 1, 2, 12-15 months; 2, 4, 6, 12-15 months; ",HepB_Pediatric (for risk newborns or Y14 (x3 doses) catch up); DTaPHibHepIPV; HepB_Adult (for hemodialize patients),1.8,0.2,14.1,2,0,13,1.8,0.2,14.3,35,4,281,0.5,0.1,4.7,0,0,4,1.5,0.2,12.1,28,3,238,1,0,9,6,1,46,2664.432,2649.152,2620.246,2582.65,2543.622,2508.473,2478.825,2453.302,2430.547,2408.09,2384.163,2358.677,2332.492,2305.775,2278.855,2251.983,2225.223,2198.518,2171.881,2145.309,2118.848,2092.493,2066.374,2040.784,2016.125,1992.663,205.151,142.927,96.609,100.715,112.517,100.811,192.079,204.288,146.325,98.307,103.757,114.464,104.345,14.563,17.552,15.726,9.92,7.803,6.488,69.25,68.75,68.067,68,67.692,67.382,,,,,,,97,98,97,97,98,99,98,99,99,98,94,92,94,90,89,91,92,93,91,94,99,98,98,98,96,95,94,9,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Morocco,MAR,EMRO,Lower middle income,1998,2010,99,14,"birth; 2, 3, 4 months;",HepB monovalent; DTwPHibHepB,1.9,1.5,2.5,66,51,84,1.9,1.5,2.3,656,525,804,0.5,0.3,0.6,15,11,21,1.5,1.2,1.9,523,422,642,50,37,67,160,125,206,24879.136,25336.862,25791.494,26237.417,26667.048,27075.232,27460.603,27825.901,28175.263,28514.798,28849.621,29181.832,29512.368,29843.937,30179.285,30521.07,30869.346,31225.881,31596.855,31989.897,32409.639,32858.823,33333.789,33824.769,34318.082,34803.322,3413.479,3333.102,3078.554,3088.705,3178.789,3456.779,3905.959,3717.807,3563.336,3244.21,3232.746,3315.727,3577.584,66.576,52.994,44.045,36.611,33.154,28.13,48.391,51.692,53.335,55.126,57.684,60.195,14,14,14,9,4,20,,,,,,,,,,,99,99,99,99,98,98,98,97,95,95,96,95,90,92,84,43,10,,,,,,,,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Monaco,MCO,EURO,High income,1994,,99,,"2, 4, 16-18 months;",DTaPHibHepIPV,0.7,0.1,9.7,0,0,1,0.8,0.1,10.2,0,0,3,0.2,0,2.9,0,0,0,0.6,0,7.6,0,0,2,0,0,1,0,0,1,29.439,29.624,29.863,30.138,30.427,30.691,30.967,31.251,31.523,31.8,32.082,32.36,32.629,32.933,33.314,33.793,34.408,35.111,35.853,36.534,37.094,37.497,37.783,37.971,38.132,38.307,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Republic of Moldava,MDA,EURO,Lower middle income,1994,2000,88,96,"2, 4, 6 months; 1 day; ",DTwPHibHepB; HepB_Pediatric; HepB_Adult (risk groups /outbreaks),6.2,4.4,8.3,14,10,19,6.3,4.6,8.2,255,189,334,0.7,0.4,1,1,1,2,4.9,3.6,6.4,199,148,262,12,9,17,57,42,76,4364.116,4373.578,4375.313,4369.649,4357.283,4339.082,4314.7,4284.931,4253.284,4224.273,4201.089,4185.505,4176.616,4171.646,4166.337,4157.699,4144.73,4128.649,4111.44,4096.04,4084.481,4077.368,4073.703,4071.964,4069.939,4065.98,426.912,328.151,241.12,205.401,220.111,222.219,444.929,452.517,341.628,277.338,212.26,225.792,222.379,31.257,28.994,24.481,18.859,15.541,14.3,46.762,46.294,45.803,45.308,44.886,44.995,96,96,95,99,99,98,98,99,99,99,99,99,99,99,91,93,88,92,91,94,96,98,89,97,95,98,99,99,99,99,94,92,94,93,87,81,19,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Madagascar,MDG,AFRO,Low income,2001,2016,69,,"6, 10, 14 weeks;",DTwPHibHepB,10.7,8.4,13.7,403,318,517,10.6,8.7,13.1,2575,2103,3175,4.4,3.1,5.9,164,115,223,8.2,6.5,10.1,1977,1585,2450,238,178,317,872,685,1126,11598.633,11942.819,12301.336,12675.46,13066.543,13475.4,13902.688,14347.854,14808.791,15282.521,15766.806,16260.932,16765.117,17279.141,17802.997,18336.724,18880.268,19433.523,19996.469,20569.121,21151.64,21743.949,22346.573,22961.146,23589.801,24234.088,2092.169,2438.716,2842.101,3130.542,3410.086,3699.601,2121.458,2406.924,2767.059,3131.901,3364.095,3606.6,3872.083,107.845,100.071,77.748,57.989,45.499,36.775,23.566,25.796,27.121,28.814,31.929,35.105,,,,,,,,,,,,,,,,,69,73,74,70,73,70,77,77,84,82,81,71,61,51,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,8.3,6,12.6,8468,6106,12909,7.9,5.8,12.6,50684,37266,80493,3.4,2.29,5.55,3483,2341,5676,6.37,4.65,10.29,40633,29675,65676,4954,3369,7698,17920,12878,27487
